date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:26:59	664842/664842	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:56:49%20GMT	https://www.classcentral.com/	E:/juned/www.classcentral.com/www.classcentral.com/index.html	(from )
07:26:59	975/975	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/favicon-32x32.png	E:/juned/www.classcentral.com/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
07:27:10	9463/9463	U-----	200	untouched ('')	image/png	date:Wed,%2023%20Mar%202022%2016:44:05%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
07:27:10	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263f04504-2a1%22	https://www.classcentral.com/site.webmanifest	E:/juned/www.classcentral.com/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
07:27:20	2206/2206	U-----	200	untouched ('')	image/png	date:Sat,%2018%20Feb%202023%2003:21:24%20GMT	https://www.classcentral.com/apple-touch-icon.png	E:/juned/www.classcentral.com/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
07:27:30	731/731	U-----	200	untouched ('')	image/png	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/favicon-16x16.png	E:/juned/www.classcentral.com/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
07:27:31	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263f04435-391%22	https://www.classcentral.com/opensearch.xml	E:/juned/www.classcentral.com/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
07:27:41	1960/1960	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%2263f04504-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	E:/juned/www.classcentral.com/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
07:27:41	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
07:27:50	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
07:27:50	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
07:28:01	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
07:28:11	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
