date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:23	664819/664819	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2000:13:14%20GMT	https://www.classcentral.com/	E:/juned/www.classcentral.com/www.classcentral.com/index.html	(from )
05:43:24	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2016:44:05%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
05:43:34	2206/2206	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:21:24%20GMT	https://www.classcentral.com/apple-touch-icon.png	E:/juned/www.classcentral.com/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
05:43:44	975/975	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/favicon-32x32.png	E:/juned/www.classcentral.com/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
05:43:54	731/731	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/favicon-16x16.png	E:/juned/www.classcentral.com/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
05:44:05	673/673	URF---	200	untouched ('OK%20(cached)')	application/webmanifest		https://www.classcentral.com/site.webmanifest	E:/juned/www.classcentral.com/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
05:44:16	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f04435-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	E:/juned/www.classcentral.com/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
05:44:25	913/913	URF---	200	untouched ('OK%20(cached)')	application/xml		https://www.classcentral.com/opensearch.xml	E:/juned/www.classcentral.com/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
05:44:36	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
05:44:46	1328/1328	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
05:44:55	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
05:45:05	5588/5588	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
05:45:16	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
05:45:26	15280/15280	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
05:45:37	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
05:45:46	9684/9684	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
05:45:57	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
05:46:06	8444/8444	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
05:46:17	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
05:46:27	14960/14960	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
05:46:38	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
05:46:47	6816/6816	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
05:46:58	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
05:47:07	7244/7244	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
05:47:18	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
05:47:28	5784/5784	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
05:47:39	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
05:47:48	15948/15948	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
05:47:58	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
05:48:09	9540/9540	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
05:48:20	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
05:48:29	8280/8280	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	E:/juned/www.classcentral.com/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
